Scan_Velocity,Laser_Power,Depth,Width,Length
-1.5543693981189541,-1.6237976321502121,106.43715132595086,53.66090890523287,320.7602818797461
-1.5543693981189541,-1.607804449441597,106.41850590639015,53.65581642620069,320.73227415990317
-1.5543693981189541,-1.5918112667329818,106.39918416483394,53.65062922110652,320.70336369634606
-1.5543693981189541,-1.5758180840243667,106.37918877033434,53.64535712154192,320.67355736886026
-1.5543693981189541,-1.5598249013157515,106.35852518847284,53.64001114993259,320.64286505958387
-1.5543693981189541,-1.5438317186071364,106.3372019112031,53.6346035731505,320.6112997903607
-1.5543693981189541,-1.5278385358985211,106.31523069354105,53.629147954704116,320.5788778525741
-1.5543693981189541,-1.511845353189906,106.29262679658817,53.62365920513276,320.54561892807163
-1.5543693981189541,-1.4958521704812908,106.26940923630352,53.618153630212596,320.51154619974
-1.5543693981189541,-1.4798589877726758,106.24560103736903,53.61264897656549,320.4766864502437
-1.5543693981189541,-1.4638658050640605,106.2212294914185,53.607164474246645,320.4410701473998
-1.5543693981189541,-1.4478726223554454,106.19632641882646,53.601720875873035,320.40473151463107
-1.5543693981189541,-1.4318794396468302,106.17092843317747,53.59634049184272,320.36770858491496
-1.5543693981189541,-1.4158862569382151,106.14507720746019,53.591047221185285,320.3300432366329
-1.5543693981189541,-1.3998930742295999,106.11881974095425,53.585866577575615,320.29178120971767
-1.5543693981189541,-1.3838998915209848,106.09220862570258,53.58082571003777,320.25297210050644
-1.5543693981189541,-1.3679067088123695,106.0653023113863,53.57595341786318,320.21366933372127
-1.5543693981189541,-1.3519135261037545,106.03816536734577,53.57128015926676,320.17393011003145
-1.5543693981189541,-1.3359203433951392,106.0108687404198,53.56683805330811,320.1338153276945
-1.5543693981189541,-1.3199271606865242,105.98349000720503,53.56266087461037,320.09338947682767
-1.5543693981189541,-1.3039339779779089,105.95611361927195,53.558784040419184,320.0527205049345
-1.5543693981189541,-1.2879407952692938,105.92883113980972,53.5552445895568,320.01187965239353
-1.5543693981189541,-1.2719476125606786,105.90174147011525,53.55208115284274,319.9709412567187
-1.5543693981189541,-1.2559544298520635,105.87495106428565,53.549333914573026,319.9299825245126
-1.5543693981189541,-1.2399612471434485,105.84857413042687,53.54704456467341,319.8890832701677
-1.5543693981189541,-1.2239680644348332,105.82273281664715,53.545256241170534,319.84832562051406
-1.5543693981189541,-1.207974881726218,105.7975573800689,53.54401346265638,319.8077936847743
-1.5543693981189541,-1.1919816990176029,105.77318633706349,53.54336205045754,319.7675731893627
-1.5543693981189541,-1.1759885163089878,105.74976659289288,53.54334904026059,319.72775107725766
-1.5543693981189541,-1.1599953336003725,105.72745354892913,53.544022582988475,319.68841507188347
-1.5543693981189541,-1.1440021508917573,105.70641118562017,53.545431834770994,319.649653205655
-1.5543693981189541,-1.1280089681831422,105.68681211937516,53.547626835903245,319.6115533135762
-1.5543693981189541,-1.1120157854745272,105.66883763156025,53.550658378741915,319.5742024925279
-1.5543693981189541,-1.096022602765912,105.65267766782054,53.5545778645471,319.5376865271369
-1.5543693981189541,-1.0800294200572966,105.6385308059831,53.55943714934005,319.50208928338924
-1.5543693981189541,-1.0640362373486816,105.62660419084378,53.56528837891169,319.4674920714257
-1.5543693981189541,-1.0480430546400665,105.61711343420116,53.57218381318508,319.4339729792426
-1.5543693981189541,-1.0320498719314513,105.61028247857375,53.580175640205006,319.4016061793136
-1.5543693981189541,-1.016056689222836,105.60634342312048,53.589315780100435,319.37046121043994
-1.5543693981189541,-1.000063506514221,105.60553631038188,53.59965567943998,319.34060223743796
-1.5543693981189541,-0.9840703238056058,105.60810887256804,53.611246096476066,319.3120872915674
-1.5543693981189541,-0.9680771410969906,105.61431623624094,53.62413687784985,319.28496749490176
-1.5543693981189541,-0.9520839583883755,105.62442058437279,53.63837672740649,319.25928627213375
-1.5543693981189541,-0.9360907756797603,105.63869077490742,53.65401296784659,319.23507855359395
-1.5543693981189541,-0.9200975929711451,105.65740191510959,53.67109129601697,319.2123699735391
-1.5543693981189541,-0.90410441026253,105.68083489115654,53.68965553271824,319.19117606803104
-1.5543693981189541,-0.8881112275539148,105.70927585260598,53.709747367981265,319.1715014769787
-1.5543693981189541,-0.8721180448452996,105.74301565156583,53.73140610283505,319.1533391551541
-1.5543693981189541,-0.8561248621366846,105.78234923659217,53.754668388658075,319.1366695972064
-1.5543693981189541,-0.8401316794280694,105.8275750015514,53.77956796526931,319.12146008189495
-1.5543693981189541,-0.8241384967194543,105.87899408990219,53.80613539897705,319.10766394093497
-1.5543693981189541,-0.8081453140108391,105.93690965507821,53.83439782185934,319.09521985798995
-1.5543693981189541,-0.792152131302224,106.00162607788658,53.86437867360182,319.0840512034656
-1.5543693981189541,-0.7761589485936088,106.07344814207505,53.89609744726337,319.07406541084174
-1.5543693981189541,-0.7601657658849936,106.15268016946462,53.929569440379794,319.06515340032877
-1.5543693981189541,-0.7441725831763785,106.23962511629057,53.96480551284716,319.05718905565465
-1.5543693981189541,-0.7281794004677633,106.33458363264367,54.00181185305175,319.0500287597629
-1.5543693981189541,-0.7121862177591481,106.43785308715309,54.04058975372999,319.04351099514366
-1.5543693981189541,-0.696193035050533,106.54972655930064,54.08113539905036,319.037456014418
-1.5543693981189541,-0.6801998523419178,106.6704918020036,54.123439664408885,319.0316655866533
-1.5543693981189541,-0.6642066696333027,106.80043017734579,54.16748793042065,319.0259228247013
-1.5543693981189541,-0.6482134869246875,106.93981556857514,54.21325991257079,319.0199920986241
-1.5543693981189541,-0.6322203042160723,107.0889132717175,54.26072950796008,319.01361903999714
