Power,Speed,P/v,Width,Depth,Length,hatch distance depth (um),lack of fusion - hatch,lack of fusion,balling,keyholing,hmax
123.3333333,666.6666667,0.185,105.6131406,108.0036675,479.3923026,106.3711136,10.63711136,10.80036675,0.220306292,0.977866243,101.0390971
123.3333333,933.3333333,0.132142857,91.46124464,69.91662167,442.6753369,69.15261552,6.915261552,6.991662167,0.206610211,1.308147368,85.54778445
123.3333333,1200,0.102777778,82.24806843,52.09790418,413.7327803,51.23190599,5.123190599,5.209790418,0.198795146,1.57872125,75.33509883
123.3333333,1466.666667,0.084090909,74.87165044,42.05740643,390.0017895,40.73150208,4.073150208,4.205740643,0.19197771,1.780225097,67.29726068
123.3333333,1733.333333,0.071153846,69.58691445,35.07862751,370.9594692,34.56597519,3.456597519,3.507862751,0.1875863,1.983741081,61.38518003
123.3333333,2000,0.061666667,66.16730726,30.61787817,356.2492366,30.07032041,3.007032041,3.061787817,0.18573319,2.16106769,57.44766617
123.3333333,2266.666667,0.054411765,62.57100898,27.76984008,344.6420236,26.83439702,2.683439702,2.776984008,0.181553626,2.253200191,53.65216785
123.3333333,2533.333333,0.048684211,59.50035837,25.36818546,334.7090066,24.40588515,2.440588515,2.536818546,0.177767425,2.345471593,50.39157052
123.3333333,2800,0.044047619,57.32644227,22.92883699,325.6567779,22.61823175,2.261823175,2.292883699,0.176033315,2.500189708,47.83632493
146.6666667,400,0.366666667,108.0888166,236.8966021,419.9143718,232.7444793,23.27444793,23.68966021,0.257406804,0.456270017,105.8772424
146.6666667,666.6666667,0.22,112.3520384,138.8435193,571.4319073,137.1068541,13.71068541,13.88435193,0.196614919,0.80919901,108.5122573
146.6666667,933.3333333,0.157142857,98.34957848,88.30187833,535.677226,87.32838329,8.732838329,8.830187833,0.183598581,1.113788068,93.21301717
146.6666667,1200,0.122222222,89.58615316,65.50037424,502.4004568,63.27900187,6.327900187,6.550037424,0.178316226,1.367719715,83.44267666
146.6666667,1466.666667,0.1,81.27531419,50.85151406,471.567734,50.14201141,5.014201141,5.085151406,0.172351305,1.598287007,74.29762082
